,Cytoplasm_Catenin (Beta),Cytoplasm_Cyclin D1,Cytoplasm_Cytokeratin 18,Cytoplasm_Cytokeratin 7,Cytoplasm_DNA,Cytoplasm_E-cadherin,Cytoplasm_EGFR,Cytoplasm_HES1,Cytoplasm_LC3A/B,Cytoplasm_MET,Cytoplasm_NDG1 (p-T346),Cytoplasm_NFkB (p65),Cytoplasm_PDL1,Cytoplasm_S6,Cytoplasm_S6 (p-S235/S236),Cytoplasm_S6 (p-S240/244),Cytoplasm_STAT1 (alpha-isoform),Cytoplasm_STAT1 (p-S727),Cytoplasm_STAT3,Cytoplasm_Vimentin,Cytoplasm_c-Jun,Cytoplasm_ki67,Cytoplasm_p21 (Waf1/Cip1),Nuclei_Catenin (Beta),Nuclei_Cyclin D1,Nuclei_Cytokeratin 18,Nuclei_Cytokeratin 7,Nuclei_DNA,Nuclei_E-cadherin,Nuclei_EGFR,Nuclei_HES1,Nuclei_LC3A/B,Nuclei_MET,Nuclei_NDG1 (p-T346),Nuclei_NFkB (p65),Nuclei_PDL1,Nuclei_S6,Nuclei_S6 (p-S235/S236),Nuclei_S6 (p-S240/244),Nuclei_STAT1 (alpha-isoform),Nuclei_STAT1 (p-S727),Nuclei_STAT3,Nuclei_Vimentin,Nuclei_c-Jun,Nuclei_ki67,Nuclei_p21 (Waf1/Cip1)
1_cell_C10_fld3_1,8.940702207684296,3.8725743256343717,10.051840565297837,7.853601884712621,8.840104791014145,7.554551315204939,8.275182818367835,8.947299800807592,2.494689205133313,6.5869738494959895,6.441375615651099,8.932720385619827,5.202274143967976,10.3640664060166,7.872293264508358,10.005326808967329,7.9859325173735325,5.617906397312411,9.594780214414545,1.3490657486173903,5.673466046599391,6.518622135627188,4.691493685774501,8.240402120099363,6.4469849475169285,10.468223594308645,8.110331243204278,11.496325513323033,6.956700250821715,8.01528639553185,10.123093905363145,3.425036715525919,6.6056589416113365,6.014057373250844,8.878875909621915,5.4178307935024055,10.296811314191238,7.499608296345114,9.722125752044283,9.11695960094306,5.5726222912503935,10.395443335491166,3.022257224774079,7.504009473956935,10.590847161264168,8.036298605897432
1_cell_C10_fld3_2,8.35232295400667,5.458568821561111,10.030939131299501,7.105781786719962,9.382012921837239,6.466791470523446,8.021301201075948,9.648157503593804,3.040075951018287,6.573327169919234,6.727903889535999,9.314021498929668,5.755093647035476,10.66728068853079,8.09766053159044,10.153964653053562,8.182758545840308,6.689971815628479,9.701132269699574,3.8106461006756924,6.013799819515183,7.0571933747611775,4.187659413730213,8.026621817428563,8.120779315180375,9.977979413592951,6.296807807563595,11.90705783953328,6.266207356095082,7.975063129736764,10.281022967725825,3.810044530194862,6.57572418156407,6.2014492233264145,8.54441444795527,5.649101145105558,10.307736573934893,6.652144608371397,8.996322613937682,9.089185251940396,5.442943668560954,10.258141764782922,3.981869168387874,7.519451526885067,11.059144732714831,7.532055323118906
1_cell_C10_fld3_3,8.079142415789066,4.851374075252063,9.727209041115522,6.355760760303444,9.45855420539175,6.3271817321044175,8.489311075144686,9.277181425277591,2.778919371696257,6.183625031302871,8.73139061890335,8.83489352296514,4.976104883560743,10.244702657812356,7.7770480995721085,9.891260732456223,7.787885280474772,5.354292946958639,8.449013543975989,1.9734252435361828,5.629887918132409,6.4843446033291166,2.2633586781071555,8.062556686404617,7.636231681479833,11.479628759779441,6.6055481305434744,12.111947694210958,6.490276545370968,8.685331640270446,10.59446524446053,3.654668225508768,6.749731042311584,9.041553389002178,9.08315196927866,5.706157061897064,10.401531540108998,7.668624227608289,9.68420624495365,9.354319582407825,5.623691495621814,9.690046486574794,5.151887541866657,7.351459154551827,10.3181210945751,2.60375727303612
1_cell_C10_fld3_4,8.923556058519752,4.870794181524568,9.709000274759955,7.482056175289428,9.158162143246322,6.837228851658736,7.978263866149201,9.752853599213662,2.9717245088913278,6.922138406313116,7.094821350130191,9.350943283404964,5.671427811440478,10.901192684913095,8.283859866509507,10.20256495825028,8.457296779514326,6.130185538138759,10.052335435597636,3.8713384513444917,5.787209608778831,6.767888618372237,3.8820870780175225,8.55696514535084,7.830608722751147,9.977944351543822,7.041792702910227,12.137760050276762,6.574168602269612,7.753021592245713,10.702263323460723,3.7331638151933673,6.984300003374393,6.946178810561356,9.140013870497231,5.747406391504583,10.519845723702645,7.181438082917322,9.172724281244083,9.657872548083462,5.905317830024388,11.059399958135153,4.259019458352721,7.36784664600596,11.281639939549486,7.5707093471144695
1_cell_C10_fld3_5,8.607068090280935,4.82276237599843,9.69309086548323,6.814015008834108,9.282838747758266,6.869676281209628,7.57469355809842,9.722546279641783,3.2526128518251096,6.938410308975692,4.725224608384011,8.98750794677184,5.212446212378602,10.76063015401183,8.344322403435045,10.340618485447157,7.9641293509562185,6.088363015243044,9.487831042530098,2.730300015353245,6.074200080535511,7.1435114208751145,3.7174095992014937,8.690449472423186,7.575300477028562,10.113704551391226,6.68493384976862,12.063229704793248,6.879027515618712,8.152047344387636,10.647657539248538,3.735294800363894,7.545008397139288,4.708529167136497,8.936095789573773,5.698988630481566,10.246194603320083,7.372997335513517,9.467737940676503,9.354122414889316,5.8052673296608575,10.532219131051788,3.8229885953125993,7.494955155696415,11.413369475161383,6.42743378619032
1_cell_C10_fld3_6,8.735267600758197,4.54649570401117,8.92916797571956,7.348608586139384,9.094170404574239,6.687277672586158,7.580290698900387,9.13876202251228,2.991890028305535,6.5225686885848795,4.675398660635396,9.133683692497167,4.996605414959676,10.403066799863522,7.708800199544568,9.77554870519048,8.04701308982327,5.810294685194516,9.146308421327749,3.6614881735160782,5.749511621167666,7.236353918594929,3.279308307307753,8.166100107860736,7.155594438931586,9.02373836785169,6.6537254973438165,11.868089624792873,6.252679507673729,7.246963244643127,10.200033509176123,3.276252851775837,6.475041544101562,3.914670604155893,8.254156346541723,5.160786650478415,10.012654117714298,6.552679802506558,8.779574917231812,9.154006338813726,5.3797332552722255,9.87724435170105,4.224343780093266,7.121609882301639,11.464224538071456,5.451274559478018
1_cell_C10_fld3_7,7.935119602483444,3.9079522431646443,9.857442793055718,6.243410929725501,9.40424178303105,5.917762824675896,7.747899472140967,8.38462036021912,2.5452253612367692,6.225210774054159,7.2413536885234535,8.379130747576417,4.726457816583892,9.96303886884824,7.010073978291285,9.388011412139571,7.372534950288681,5.266181844841201,8.755509327485665,2.8271939988118158,5.564227080650578,6.876465391069081,3.46528221629538,7.289985769749055,5.852089319039989,9.914132983356742,5.357009986152653,11.992786033319392,5.580484610536803,7.547541347592813,9.689585797708537,3.3385580002808877,6.192926542311707,7.025740222441561,7.636710692802468,4.931274249031494,9.979277468093343,6.2301405465262185,8.636707682517978,8.6028831067477,4.9384651543684,9.349711616945951,3.1515462611305347,7.1320964193156025,10.602861759377667,6.026640828578313
1_cell_C10_fld3_8,8.934930459725534,4.947961198748832,10.652778411939344,7.139437145698132,9.003905381881262,7.504961466757693,8.490780867838936,9.325903790845096,2.822847183896275,6.931607502483973,5.6453912977514165,9.143844819037508,5.530649391691481,10.56397504457834,7.96462603233608,9.932678306825887,8.037703361611687,6.109502203546351,9.397470695539571,3.3255027450541377,5.851752091474675,6.668798430773235,3.8673417382135233,8.739265681492778,7.86337794306904,10.710356901753448,7.149743072849051,12.050272184505864,7.091621997701845,8.591691148474297,10.454166596819746,3.9222958955765583,7.244924249647615,5.8527550102371295,9.044933354318434,5.933423555830025,10.911130918565807,7.397423428709592,9.510045131390338,9.583545854726182,7.1267180511055646,10.639198893137591,4.175331604202574,7.666139158188915,11.482065278849234,7.377352534590781
1_cell_C10_fld3_9,7.5597949458485605,4.6559626437901676,10.068044412756535,7.8620016082381845,9.48141052713204,6.2953771043131725,7.4322984218715655,9.72550585778333,2.8815519089212414,6.338291718401163,3.51433542416203,8.41281361893149,4.51837666253702,9.671080521413025,6.951690290945436,9.399206366442144,7.603719510705245,4.929932640712741,8.953846662499336,2.3064252262936096,5.680074717909319,6.845259375310648,2.86185719551462,6.471419197200575,6.789991550923728,10.012936619927293,7.642471567905848,12.12628912960891,5.9545472666483485,7.4895033744984065,10.427811601307472,3.203631003863881,6.3844514259866685,3.2149421854330855,8.058516013661368,4.644882022541387,9.893710942353488,6.853863120192882,9.141602342192055,8.825650562039407,4.908785419486878,10.078175898001147,2.7419641704489317,7.377941713998652,10.381700730586939,4.9205520164594905
1_cell_C10_fld3_10,8.803250441102477,4.205396636328124,10.654903361933604,6.850403956266613,8.974816993945627,7.041550451481588,8.16452473480933,9.536348251501618,3.0954080601560188,6.757023270389596,7.8950191575436435,9.239964957835792,5.3755917366733925,10.732218291381708,8.032338315744854,10.12264870477714,7.860908634454652,6.064836326220164,9.287131972210625,3.255290447612736,5.650940699718661,5.495381773234652,2.295683956169295,8.370195841299932,5.955741834946058,10.8848756362234,6.48087795561205,11.659237098954675,6.564099307063902,7.764792601261146,10.359756228507175,3.802851901419988,6.680323764441862,7.52490234961185,8.66627553992665,5.48801932579617,10.323407872375803,6.671592837240325,8.997152715692947,8.839236893625342,7.520772968593298,9.934361927080067,4.013134558271859,7.225003641180529,9.566673238756058,3.2377791479678284
