,X,Y,Well,ligand,dose,time,Plate,condition,replicate,collection,sampleid,labeled_as_lost
1_cell_C10_fld3_1,103.39781021897801,1562.97931873479,C10,ctrl,0,0,1,ctrl_0,A,C3,ctrl_0_C3_A,No
1_cell_C10_fld3_2,102.94649446494499,1177.60332103321,C10,ctrl,0,0,1,ctrl_0,A,C3,ctrl_0_C3_A,No
1_cell_C10_fld3_3,154.19083969465598,1666.12977099237,C10,ctrl,0,0,1,ctrl_0,A,C3,ctrl_0_C3_A,No
1_cell_C10_fld3_4,158.923076923077,1040.2730769230802,C10,ctrl,0,0,1,ctrl_0,A,C3,ctrl_0_C3_A,No
1_cell_C10_fld3_5,291.510676156584,1281.81672597865,C10,ctrl,0,0,1,ctrl_0,A,C3,ctrl_0_C3_A,No
1_cell_C10_fld3_6,280.174509803922,601.001960784314,C10,ctrl,0,0,1,ctrl_0,A,C3,ctrl_0_C3_A,No
1_cell_C10_fld3_7,249.403780068729,1531.1357388316198,C10,ctrl,0,0,1,ctrl_0,A,C3,ctrl_0_C3_A,No
1_cell_C10_fld3_8,373.042533081285,889.5,C10,ctrl,0,0,1,ctrl_0,A,C3,ctrl_0_C3_A,No
1_cell_C10_fld3_9,406.60948905109495,1605.8503649635004,C10,ctrl,0,0,1,ctrl_0,A,C3,ctrl_0_C3_A,No
1_cell_C10_fld3_10,395.264102564103,700.1871794871788,C10,ctrl,0,0,1,ctrl_0,A,C3,ctrl_0_C3_A,No
2_cell_C10_fld3_1,72.9840579710145,552.253623188406,C10,PBS,0,1,2,PBS_1,A,C3,PBS_1_C3_A,No
2_cell_C10_fld3_2,162.30971659918995,1843.58906882591,C10,PBS,0,1,2,PBS_1,A,C3,PBS_1_C3_A,No
2_cell_C10_fld3_3,124.757884972171,417.422077922078,C10,PBS,0,1,2,PBS_1,A,C3,PBS_1_C3_A,No
2_cell_C10_fld3_4,90.1532663316583,1328.0527638191,C10,PBS,0,1,2,PBS_1,A,C3,PBS_1_C3_A,No
2_cell_C10_fld3_5,136.642857142857,1607.73146473779,C10,PBS,0,1,2,PBS_1,A,C3,PBS_1_C3_A,No
2_cell_C10_fld3_6,139.417475728155,282.733009708738,C10,PBS,0,1,2,PBS_1,A,C3,PBS_1_C3_A,No
2_cell_C10_fld3_7,113.878698224852,1233.76035502959,C10,PBS,0,1,2,PBS_1,A,C3,PBS_1_C3_A,No
2_cell_C10_fld3_8,128.977386934673,1177.58040201005,C10,PBS,0,1,2,PBS_1,A,C3,PBS_1_C3_A,No
2_cell_C10_fld3_9,161.451351351351,541.1810810810812,C10,PBS,0,1,2,PBS_1,A,C3,PBS_1_C3_A,No
2_cell_C10_fld3_10,213.5,1525.83145009416,C10,PBS,0,1,2,PBS_1,A,C3,PBS_1_C3_A,No
2_cell_E09_fld9_1,102.20983213429301,271.034772182254,E09,TGFB,10,1,2,TGFB_1,A,C3,TGFB_1_C3_A,No
2_cell_E09_fld9_2,95.9045801526718,1243.69465648855,E09,TGFB,10,1,2,TGFB_1,A,C3,TGFB_1_C3_A,No
2_cell_E09_fld9_4,185.259862778731,1679.99056603774,E09,TGFB,10,1,2,TGFB_1,A,C3,TGFB_1_C3_A,No
2_cell_E09_fld9_6,163.668618266979,1234.5913348946099,E09,TGFB,10,1,2,TGFB_1,A,C3,TGFB_1_C3_A,No
2_cell_E09_fld9_7,181.32477341389702,1332.75075528701,E09,TGFB,10,1,2,TGFB_1,A,C3,TGFB_1_C3_A,No
2_cell_E09_fld9_8,234.07094017094,1969.9478632478601,E09,TGFB,10,1,2,TGFB_1,A,C3,TGFB_1_C3_A,No
2_cell_E09_fld9_9,260.751366120219,559.396174863388,E09,TGFB,10,1,2,TGFB_1,A,C3,TGFB_1_C3_A,No
2_cell_E09_fld9_10,267.779411764706,1889.5,E09,TGFB,10,1,2,TGFB_1,A,C3,TGFB_1_C3_A,No
2_cell_E09_fld9_11,254.070434782609,1755.5069565217402,E09,TGFB,10,1,2,TGFB_1,A,C3,TGFB_1_C3_A,No
2_cell_E09_fld9_12,287.73645320197005,1843.8546798029602,E09,TGFB,10,1,2,TGFB_1,A,C3,TGFB_1_C3_A,No
2_cell_E05_fld3_1,73.63595706618959,1885.33542039356,E05,HGF,40,1,2,HGF_1,A,C3,HGF_1_C3_A,No
2_cell_E05_fld3_2,101.59926470588199,255.67647058823502,E05,HGF,40,1,2,HGF_1,A,C3,HGF_1_C3_A,No
2_cell_E05_fld3_3,90.47127222982219,1322.6600547195599,E05,HGF,40,1,2,HGF_1,A,C3,HGF_1_C3_A,No
2_cell_E05_fld3_4,107.973684210526,1701.03007518797,E05,HGF,40,1,2,HGF_1,A,C3,HGF_1_C3_A,No
2_cell_E05_fld3_5,78.73155216284991,1264.28880407125,E05,HGF,40,1,2,HGF_1,A,C3,HGF_1_C3_A,No
2_cell_E05_fld3_6,136.5,1557.5967741935501,E05,HGF,40,1,2,HGF_1,A,C3,HGF_1_C3_A,No
2_cell_E05_fld3_7,161.880582524272,407.934951456311,E05,HGF,40,1,2,HGF_1,A,C3,HGF_1_C3_A,No
2_cell_E05_fld3_8,173.06488549618302,196.450381679389,E05,HGF,40,1,2,HGF_1,A,C3,HGF_1_C3_A,No
2_cell_E05_fld3_9,258.49630996310003,1864.4704797048,E05,HGF,40,1,2,HGF_1,A,C3,HGF_1_C3_A,No
2_cell_E05_fld3_10,238.443469785575,558.127680311891,E05,HGF,40,1,2,HGF_1,A,C3,HGF_1_C3_A,No
2_cell_E08_fld8_1,59.452802359882,227.64749262536893,E08,BMP2,20,1,2,BMP2_1,A,C3,BMP2_1_C3_A,No
2_cell_E08_fld8_2,60.047667342799215,351.069979716024,E08,BMP2,20,1,2,BMP2_1,A,C3,BMP2_1_C3_A,No
2_cell_E08_fld8_3,118.96910755148701,1196.72654462243,E08,BMP2,20,1,2,BMP2_1,A,C3,BMP2_1_C3_A,No
2_cell_E08_fld8_4,202.715419501134,1744.0215419501098,E08,BMP2,20,1,2,BMP2_1,A,C3,BMP2_1_C3_A,No
2_cell_E08_fld8_5,181.925316455696,1651.72278481013,E08,BMP2,20,1,2,BMP2_1,A,C3,BMP2_1_C3_A,No
2_cell_E08_fld8_6,185.94247787610598,1690.05752212389,E08,BMP2,20,1,2,BMP2_1,A,C3,BMP2_1_C3_A,No
2_cell_E08_fld8_7,278.22641509434,1119.4245283018902,E08,BMP2,20,1,2,BMP2_1,A,C3,BMP2_1_C3_A,No
2_cell_E08_fld8_8,211.67258883248692,460.8299492385791,E08,BMP2,20,1,2,BMP2_1,A,C3,BMP2_1_C3_A,No
2_cell_E08_fld8_9,264.19051878354196,1817.60733452594,E08,BMP2,20,1,2,BMP2_1,A,C3,BMP2_1_C3_A,No
2_cell_E08_fld8_10,286.69315403422996,1408.1552567237195,E08,BMP2,20,1,2,BMP2_1,A,C3,BMP2_1_C3_A,No
2_cell_D06_fld2_1,85.20927318295742,1240.2819548872199,D06,OSM,10,1,2,OSM_1,A,C3,OSM_1_C3_A,No
2_cell_D06_fld2_2,141.085760517799,1586.92718446602,D06,OSM,10,1,2,OSM_1,A,C3,OSM_1_C3_A,No
2_cell_D06_fld2_3,149.159963436929,1446.37020109689,D06,OSM,10,1,2,OSM_1,A,C3,OSM_1_C3_A,No
2_cell_D06_fld2_4,178.32732447817799,375.84155597723,D06,OSM,10,1,2,OSM_1,A,C3,OSM_1_C3_A,No
2_cell_D06_fld2_5,159.928571428571,1244.3326530612198,D06,OSM,10,1,2,OSM_1,A,C3,OSM_1_C3_A,No
2_cell_D06_fld2_6,186.063685636856,1028.78455284553,D06,OSM,10,1,2,OSM_1,A,C3,OSM_1_C3_A,No
2_cell_D06_fld2_7,245.703389830508,952.279661016949,D06,OSM,10,1,2,OSM_1,A,C3,OSM_1_C3_A,No
2_cell_D06_fld2_8,309.128959276018,180.359728506787,D06,OSM,10,1,2,OSM_1,A,C3,OSM_1_C3_A,No
2_cell_D06_fld2_9,358.544496487119,888.516393442623,D06,OSM,10,1,2,OSM_1,A,C3,OSM_1_C3_A,No
2_cell_D06_fld2_10,647.3806682577571,1624.55011933174,D06,OSM,10,1,2,OSM_1,A,C3,OSM_1_C3_A,No
2_cell_C04_fld2_1,328.850943396226,388.401886792453,C04,EGF,10,1,2,EGF_1,A,C3,EGF_1_C3_A,No
2_cell_C04_fld2_2,386.527649769585,1201.14055299539,C04,EGF,10,1,2,EGF_1,A,C3,EGF_1_C3_A,No
2_cell_C04_fld2_3,761.9835680751172,1678.79577464789,C04,EGF,10,1,2,EGF_1,A,C3,EGF_1_C3_A,No
2_cell_C04_fld2_4,733.722222222222,1898.22351421189,C04,EGF,10,1,2,EGF_1,A,C3,EGF_1_C3_A,No
2_cell_C04_fld2_5,727.1693766937669,1349.65176151762,C04,EGF,10,1,2,EGF_1,A,C3,EGF_1_C3_A,No
2_cell_C04_fld2_6,901.245454545455,491.801298701299,C04,EGF,10,1,2,EGF_1,A,C3,EGF_1_C3_A,No
2_cell_C04_fld2_7,966.0658263305321,136.743697478992,C04,EGF,10,1,2,EGF_1,A,C3,EGF_1_C3_A,No
2_cell_C04_fld2_8,1116.24736842105,1335.06315789474,C04,EGF,10,1,2,EGF_1,A,C3,EGF_1_C3_A,No
2_cell_C04_fld2_9,1211.19732937685,1288.8649851632001,C04,EGF,10,1,2,EGF_1,A,C3,EGF_1_C3_A,No
2_cell_C04_fld2_10,1255.8681318681301,978.137362637363,C04,EGF,10,1,2,EGF_1,A,C3,EGF_1_C3_A,No
2_cell_D07_fld8_1,108.025862068966,1766.96982758621,D07,IFNG,20,1,2,IFNG_1,A,C3,IFNG_1_C3_A,No
2_cell_D07_fld8_2,120.650364963504,1178.12773722628,D07,IFNG,20,1,2,IFNG_1,A,C3,IFNG_1_C3_A,No
2_cell_D07_fld8_3,145.47818181818198,984.769090909091,D07,IFNG,20,1,2,IFNG_1,A,C3,IFNG_1_C3_A,No
2_cell_D07_fld8_4,170.739285714286,228.935714285714,D07,IFNG,20,1,2,IFNG_1,A,C3,IFNG_1_C3_A,No
2_cell_D07_fld8_5,251.61920529801301,1734.6523178807902,D07,IFNG,20,1,2,IFNG_1,A,C3,IFNG_1_C3_A,No
2_cell_D07_fld8_6,209.202031602709,970.506772009029,D07,IFNG,20,1,2,IFNG_1,A,C3,IFNG_1_C3_A,No
2_cell_D07_fld8_7,238.75225225225202,867.783783783784,D07,IFNG,20,1,2,IFNG_1,A,C3,IFNG_1_C3_A,No
2_cell_D07_fld8_8,221.854330708661,410.992125984252,D07,IFNG,20,1,2,IFNG_1,A,C3,IFNG_1_C3_A,No
